[LAYOUT]
19,20,21,21,21,21,21,21,21,21,21,21,21,21,22,23
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
24,25,26,26,26,26,26,26,26,26,26,26,26,26,27,28
29,30,31,31,31,31,31,31,31,31,34,31,31,31,32,33
[ENTITIES]
